Id,SalePrice
1461,168000.0
1462,168000.0
1463,164000.0
1464,164000.0
1465,179900.0
1466,168000.0
1467,168000.0
1468,168000.0
1469,189000.0
1470,168000.0
1471,164000.0
1472,168000.0
1473,168000.0
1474,168000.0
1475,168000.0
1476,451950.0
1477,451950.0
1478,324000.0
1479,324000.0
1480,324000.0
1481,189000.0
1482,324000.0
1483,179900.0
1484,189000.0
1485,164000.0
1486,168000.0
1487,179900.0
1488,179900.0
1489,451950.0
1490,189000.0
1491,168000.0
1492,168000.0
1493,269500.0
1494,269500.0
1495,189000.0
1496,164000.0
1497,168000.0
1498,189000.0
1499,189000.0
1500,189000.0
1501,189000.0
1502,164000.0
1503,164000.0
1504,164000.0
1505,189000.0
1506,324000.0
1507,189000.0
1508,168000.0
1509,168000.0
1510,168000.0
1511,168000.0
1512,168000.0
1513,168000.0
1514,168000.0
1515,168000.0
1516,168000.0
1517,164000.0
1518,274900.0
1519,189000.0
1520,168000.0
1521,168000.0
1522,168000.0
1523,168000.0
1524,168000.0
1525,168000.0
1526,168000.0
1527,168000.0
1528,168000.0
1529,168000.0
1530,168000.0
1531,168000.0
1532,168000.0
1533,269500.0
1534,168000.0
1535,168000.0
1536,168000.0
1537,168000.0
1538,168000.0
1539,168000.0
1540,168000.0
1541,168000.0
1542,168000.0
1543,168000.0
1544,168000.0
1545,168000.0
1546,168000.0
1547,168000.0
1548,168000.0
1549,168000.0
1550,168000.0
1551,168000.0
1552,168000.0
1553,168000.0
1554,168000.0
1555,168000.0
1556,168000.0
1557,168000.0
1558,168000.0
1559,168000.0
1560,168000.0
1561,274900.0
1562,168000.0
1563,189000.0
1564,164000.0
1565,168000.0
1566,168000.0
1567,168000.0
1568,168000.0
1569,168000.0
1570,189000.0
1571,168000.0
1572,168000.0
1573,164000.0
1574,274900.0
1575,189000.0
1576,164000.0
1577,189000.0
1578,168000.0
1579,189000.0
1580,168000.0
1581,164000.0
1582,168000.0
1583,189000.0
1584,179900.0
1585,189000.0
1586,189000.0
1587,168000.0
1588,168000.0
1589,168000.0
1590,168000.0
1591,168000.0
1592,168000.0
1593,168000.0
1594,189000.0
1595,168000.0
1596,168000.0
1597,168000.0
1598,164000.0
1599,164000.0
