Id,SalePrice
1461,256882.696
1462,255862.259
1463,247738.494
1464,244056.06
1465,251141.235
1466,246971.435
1467,253300.152
1468,245091.68
1469,254077.242
1470,256324.701
1471,251118.375
1472,258406.404
1473,256555.741
1474,261797.684
1475,250734.087
1476,302414.39
1477,286198.079
1478,309941.621
1479,322550.632
1480,344702.923
1481,287248.367
1482,252984.711
1483,256882.231
1484,246876.101
1485,242728.635
1486,247946.197
1487,297145.646
1488,297479.855
1489,257927.136
1490,257923.756
1491,246956.592
1492,258632.065
1493,256904.678
1494,249887.445
1495,257723.149
1496,253466.425
1497,255106.864
1498,247553.549
1499,250465.8
1500,248797.372
1501,267785.677
1502,247935.965
1503,269993.975
1504,246362.043
1505,260491.261
1506,313441.102
1507,253913.078
1508,249764.954
1509,253704.276
1510,255392.289
1511,253031.852
1512,263803.804
1513,250996.169
1514,300412.78
1515,282629.872
1516,252835.842
1517,252395.852
1518,303568.893
1519,258022.053
1520,252757.446
1521,252918.863
1522,270263.311
1523,253855.695
1524,254089.038
1525,255232.263
1526,261761.526
1527,253456.972
1528,254682.547
1529,255601.588
1530,264815.125
1531,248672.321
1532,249684.318
1533,256342.915
1534,247481.769
1535,255167.298
1536,256494.969
1537,251585.517
1538,256849.93
1539,251758.444
1540,264281.475
1541,253930.741
1542,254063.446
1543,254852.392
1544,251354.889
1545,253920.851
1546,252971.981
1547,253879.634
1548,253118.309
1549,252521.708
1550,254932.953
1551,258955.701
1552,257857.837
1553,250092.722
1554,253518.574
1555,273573.353
1556,250454.385
1557,269231.416
1558,250236.617
1559,254418.268
1560,259754.215
1561,318306.379
1562,249228.441
1563,253986.819
1564,255285.686
1565,251749.535
1566,263320.698
1567,252142.067
1568,248961.513
1569,251426.526
1570,248154.514
1571,252439.107
1572,259976.015
1573,258820.911
1574,258553.037
1575,259528.33
1576,245862.166
1577,251467.366
1578,243165.48
1579,247145.894
1580,244470.919
1581,246812.754
1582,252181.858
1583,320868.913
1584,252247.889
1585,238772.104
1586,248093.426
1587,252551.465
1588,258269.638
1589,250419.159
1590,255878.954
1591,258274.581
1592,255865.869
1593,253905.769
1594,255005.159
1595,251591.561
1596,269963.51
1597,253280.221
1598,243485.048
1599,248016.548
1600,254028.433
1601,253468.106
1602,252042.086
1603,255634.794
1604,272893.026
1605,247199.208
1606,260766.833
1607,356990.806
1608,256248.27
1609,258570.198
1610,247254.524
1611,257889.482
1612,268246.812
1613,260752.727
1614,249586.58
1615,261339.647
1616,262140.338
1617,259065.792
1618,254310.37
1619,254360.312
1620,259385.474
1621,246894.315
1622,254947.734
1623,304982.247
1624,252327.048
1625,252373.072
1626,263792.198
1627,249539.08
1628,243628.375
1629,245040.768
1630,330096.237
1631,256097.244
1632,277912.598
1633,243889.482
1634,246984.933
1635,243464.796
1636,254039.946
1637,248488.113
1638,252339.396
1639,275698.649
1640,251455.628
1641,264230.076
1642,247643.378
1643,251348.57
1644,247759.015
1645,290560.859
1646,255709.458
1647,255103.983
1648,258306.251
1649,250829.519
1650,256220.691
1651,255022.547
1652,256166.662
1653,255870.015
1654,259545.868
1655,250442.327
1656,260249.646
1657,259537.237
1658,261397.077
1659,250087.067
1660,246125.262
1661,306218.513
1662,255581.127
1663,330768.783
1664,328798.951
1665,320227.178
1666,294278.99
1667,260705.961
1668,298075.081
1669,260187.963
1670,314460.966
1671,297396.932
1672,324976.531
1673,249834.807
1674,300061.327
1675,249207.209
1676,246995.146
1677,247737.812
1678,328293.337
1679,327435.497
1680,311577.284
1681,269498.918
1682,294889.2
1683,263059.73
1684,246181.759
1685,243865.588
1686,247441.14
1687,243590.254
1688,245708.235
1689,248930.08
1690,242246.844
1691,241948.797
1692,244412.211
1693,240668.818
1694,242343.593
1695,245311.868
1696,249421.918
1697,242995.115
1698,257956.26
1699,328105.37
1700,250227.342
1701,250707.994
1702,311187.763
1703,299294.48
1704,291414.609
1705,260274.072
1706,323979.471
1707,269245.816
1708,269326.551
1709,281400.035
1710,257104.762
1711,247618.593
1712,328084.356
1713,284610.417
1714,263774.632
1715,242539.496
1716,255603.934
1717,255712.994
1718,256645.779
1719,249384.937
1720,259248.994
1721,255922.229
1722,254826.314
1723,248998.588
1724,268562.373
1725,243688.977
1726,243996.357
1727,255471.664
1728,247562.341
1729,248451.425
1730,253032.547
1731,249974.775
1732,249223.192
1733,253394.29
1734,254842.829
1735,252055.637
1736,249667.637
1737,328599.181
1738,248089.165
1739,265252.756
1740,309294.201
1741,244136.371
1742,248675.746
1743,248084.745
